"","var","cat","value","value2","class"
"1","Sex",0,58422.4890064226,3.27444211204396,"Male"
"2","Sex",1,55094.0620904167,-2.60927559165467,"Female"
"3","Ethnicity",1,51964.5269109875,-8.1414089399964,"Black"
"4","Ethnicity",2,56488.7436758402,-0.143872882729937,"White"
"5","Ethnicity",3,62804.1009505696,11.0198931665771,"Asian"
"6","Ethnicity",4,58040.9129830788,2.59992359007822,"Mixed"
"7","Ethnicity",6,58930.5598456505,4.1725677031822,"Other"
"8","Father_Occ",1,64274.9138350136,13.6198744867064,"Managers"
"9","Father_Occ",2,58824.3357438313,3.98479352510786,"High Professional"
"10","Father_Occ",3,59635.669481323,5.4190021754262,"Low Professional"
"11","Father_Occ",4,57007.962672172,0.773959498123318,"Intermediate"
"12","Father_Occ",5,56697.2220516754,0.224657940296652,"Seflemployed"
"13","Father_Occ",6,54458.9322886239,-3.73200550378949,"Technical"
"14","Father_Occ",7,54721.5634804221,-3.26774781337856,"Semi routine"
"15","Father_Occ",8,54256.2459283625,-4.09029768092385,"Routine"
"16","Mother_Occ",1,59883.6023883354,5.85727745414812,"Agriculture, Forestry, and Fishing"
"17","Mother_Occ",2,58874.4926105628,4.07345668407082,"Mining"
"18","Mother_Occ",3,58574.1017537552,3.54245058214043,"Construction"
"19","Mother_Occ",4,59116.6628245936,4.50154515095268,"Manufacturing"
"20","Mother_Occ",5,58201.773319393,2.8842791828189,"Transportation and public utilities"
"21","Mother_Occ",6,56522.8880419337,-0.0835152974997015,"Wholesale trade"
"22","Mother_Occ",7,54933.3977376899,-2.89328474082545,"Retail trade"
"23","Mother_Occ",8,51546.7789146435,-8.87986928291521,"Finance, insurance and real estate"
"24","Mother_Edu",1,55637.9532255402,-1.64782984525051,"Primary"
"25","Mother_Edu",2,57803.8427503239,2.18085044811684,"Secondary Lower"
"26","Mother_Edu",3,58239.8150449736,2.95152619767795,"Secondary Upper"
"27","Mother_Edu",4,58970.9916580567,4.24403971577247,"Tertiary"
"28","Father_Edu",1,55819.711137301,-1.32653324772815,"Primary"
"29","Father_Edu",2,58086.4853820065,2.68048270618247,"Secondary Lower"
"30","Father_Edu",3,55906.5568722722,-1.17301454317635,"Secondary Upper"
"31","Father_Edu",4,63215.9794763887,11.7479779451497,"Tertiary"
